sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,0,Design,NOUN,"A plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is made.",he has just unveiled his design for the new museum
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",1,2,Crossed,ADJ,Annoyed.,he seemed to be very cross about something
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",1,3,lines,NOUN,"A long, narrow mark or band.",a row of closely spaced dots will look like a continuous line
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",1,4,over,ADP,Extending directly upwards from.,I saw flames over Berlin
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,5,the,DET,Denoting one or more people or things already mentioned or assumed to be common knowledge.,what's the matter?
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,6,toytown,ADJ,Resembling a quaint or miniature replica of something.,"below you, far away, was a single toytown rooftop"
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,7,tram,NOUN,"A passenger vehicle powered by electricity conveyed by overhead cables, and running on rails laid in a public road.",Towns and cities considering tram schemes yesterday attacked Government indecision and demanded clear guidelines on what Ministers were prepared to pay for.
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,9,City,NOUN,A large town.,one of Italy's most beautiful cities
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,10,transport,NOUN,A system or means of conveying people or goods from place to place.,many possess their own forms of transport
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,11,could,VERB,Used to indicate possibility.,"So I had to learn every aspect as much as I could, in order to get through it and make it."
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,12,soon,ADV,In or after a short time.,everyone will soon know the truth
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,13,be,VERB,Exist.,there are no easy answers
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",1,14,back,ADV,In the opposite direction from the one that one is facing or travelling towards.,he moved back a pace
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",1,15,on,ADP,Physically in contact with and supported by (a surface),on the table was a water jug
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,16,the,DET,Denoting one or more people or things already mentioned or assumed to be common knowledge.,what's the matter?
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,17,right,ADJ,"Morally good, justified, or acceptable.",I hope we're doing the right thing
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",1,18,track,NOUN,"A rough path or road, typically one beaten by use rather than constructed.",follow the track to the farm
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,20,says,VERB,"Utter words so as to convey information, an opinion, a feeling or intention, or an instruction.","‘Thank you,’ he said"
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,21,Jonathan,PROPN,,
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,22,Glancey,PROPN,,
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,0,MODERN,PROPN,,
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,1,trams,NOUN,"A passenger vehicle powered by electricity conveyed by overhead cables, and running on rails laid in a public road.",Towns and cities considering tram schemes yesterday attacked Government indecision and demanded clear guidelines on what Ministers were prepared to pay for.
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,3,as,ADP,Used to refer to the function or character that someone or something has.,it came as a shock
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,4,most,ADJ,,
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,5,continental,ADJ,Forming or belonging to a continent.,continental Antarctica
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,6,Europeans,PROPN,,
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,7,know,VERB,"Be aware of through observation, inquiry, or information.",most people know that CFCs can damage the ozone layer
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,9,neither,CCONJ,,
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,10,shake,VERB,(of a structure or area of land) tremble or vibrate.,buildings shook in Sacramento and tremors were felt in Reno
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,11,nor,CCONJ,,
