sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,11,could,VERB,Used to indicate possibility.,"So I had to learn every aspect as much as I could, in order to get through it and make it."
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,13,be,VERB,Exist.,there are no easy answers
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,20,says,VERB,"Utter words so as to convey information, an opinion, a feeling or intention, or an instruction.","‘Thank you,’ he said"
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,7,know,VERB,"Be aware of through observation, inquiry, or information.",most people know that CFCs can damage the ozone layer
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,10,shake,VERB,(of a structure or area of land) tremble or vibrate.,buildings shook in Sacramento and tremors were felt in Reno
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,15,do,VERB,"Perform (an action, the precise nature of which is often unspecified)",very little work has been done in this field
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,17,roll,VERB,Move in a particular direction by turning over and over on an axis.,the car rolled down into a ditch
"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .",0,3,built,VERB,Construct (something) by putting parts or material together.,the ironworks were built in 1736
"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .",0,11,are,VERB,Exist.,there are no easy answers
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",1,2,exert,VERB,"Apply or bring to bear (a force, influence, or quality)",the moon exerts a force on the Earth
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",1,12,slither,VERB,Move smoothly over a surface with a twisting or oscillating motion.,I spied a baby adder slithering away
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",1,16,brush,VERB,Remove (dust or dirt) by sweeping or scrubbing.,we'll be able to brush the mud off easily
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",0,22,flashing,VERB,"Shine in a bright but brief, sudden, or intermittent way.",lightning flashed overhead
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",0,28,switch,VERB,"Change the position, direction, or focus of.",the company switched the boats to other routes
"Single-car , articulated or double-decker , trams are one of the most reliable and enduring forms of public transport invented .",0,2,articulated,VERB,Pronounce (something) clearly and distinctly.,he articulated each word with precision
"Single-car , articulated or double-decker , trams are one of the most reliable and enduring forms of public transport invented .",0,7,are,VERB,Exist.,there are no easy answers
"Single-car , articulated or double-decker , trams are one of the most reliable and enduring forms of public transport invented .",0,19,invented,VERB,Create or design (something that has not existed before); be the originator of.,he invented an improved form of the steam engine
"Eventually they will be replaced , but more than 60 years on they run with the rhythmic reliability of a Swiss watch .",0,2,will,VERB,Expressing the future tense.,you will regret it when you are older
"Eventually they will be replaced , but more than 60 years on they run with the rhythmic reliability of a Swiss watch .",0,3,be,VERB,Exist.,there are no easy answers
"Eventually they will be replaced , but more than 60 years on they run with the rhythmic reliability of a Swiss watch .",0,4,replaced,VERB,Take the place of.,Ian's smile was replaced by a frown
"Eventually they will be replaced , but more than 60 years on they run with the rhythmic reliability of a Swiss watch .",1,13,run,VERB,"Move at a speed faster than a walk, never having both or all the feet on the ground at the same time.",the dog ran across the road
Last month it was announced that Britain will get its first new-wave trams in 1991 .,0,3,was,VERB,Exist.,there are no easy answers
Last month it was announced that Britain will get its first new-wave trams in 1991 .,0,4,announced,VERB,"Make a formal public statement about a fact, occurrence, or intention.",the company announced that its profits declined much less in the second quarter than analysts had expected
Last month it was announced that Britain will get its first new-wave trams in 1991 .,0,7,will,VERB,Expressing the future tense.,you will regret it when you are older
Last month it was announced that Britain will get its first new-wave trams in 1991 .,1,8,get,VERB,Come to have (something); receive.,I got a letter from him the other day
"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",1,0,Destined,VERB,Intend or choose for a particular purpose or end.,"This perverted abhorrence of women destines religions to collide with modernity everywhere, for to be modern is to set women free."
"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",1,2,run,VERB,"Move at a speed faster than a walk, never having both or all the feet on the ground at the same time.",the dog ran across the road
"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",0,7,will,VERB,Expressing the future tense.,you will regret it when you are older
"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",1,8,relieve,VERB,"Cause (pain, distress, or difficulty) to become less severe or serious.",the drug was used to promote sleep and to relieve pain
"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",1,12,help,VERB,Make it easier or possible for (someone) to do something by offering one's services or resources.,they helped her with domestic chores
"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",1,14,reduce,VERB,"Make smaller or less in amount, degree, or size.",the need for businesses to reduce costs
"In Britain , with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) , trams had been largely relegated to the history books .",0,11,forgetting,VERB,Fail to remember.,he had forgotten his lines
"In Britain , with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) , trams had been largely relegated to the history books .",0,24,had,VERB,"Possess, own, or hold.",he had a new car and a boat
"In Britain , with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) , trams had been largely relegated to the history books .",0,25,been,VERB,Exist.,there are no easy answers
"In Britain , with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) , trams had been largely relegated to the history books .",0,27,relegated,VERB,Assign an inferior rank or position to.,they aim to prevent women from being relegated to a secondary role
"Otherwise , the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .",0,6,see,VERB,Perceive with the eyes; discern visually.,in the distance she could see the blue sea
"Otherwise , the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .",1,7,working,VERB,Be engaged in physical or mental activity in order to achieve a result; do work.,she has been working so hard
"Otherwise , the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .",0,9,has,VERB,"Possess, own, or hold.",he had a new car and a boat
"Otherwise , the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .",0,10,been,VERB,Exist.,there are no easy answers
Trams disappeared from most British cities in the 1950s .,0,1,disappeared,VERB,Cease to be visible.,he disappeared into the trees
London 's venerable red and cream double-deckers rumbled along the Thames embankment for the last time in 1952 .,0,7,rumbled,VERB,"Make a continuous deep, resonant sound.","thunder rumbled, lightning flickered"
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",0,17,slatted,VERB,,
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",1,21,growling,VERB,"(of an animal, especially a dog) make a low guttural sound in the throat.",the dogs yapped and growled at his heels
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",0,24,has,VERB,"Possess, own, or hold.",he had a new car and a boat
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",1,25,stuck,VERB,Push a sharp or pointed object into or through (something),he stuck his fork into the sausage
"Trams , it was believed until surprisingly recently , are old-fashioned .",0,3,was,VERB,Exist.,there are no easy answers
"Trams , it was believed until surprisingly recently , are old-fashioned .",0,4,believed,VERB,"Accept that (something) is true, especially without proof.",the superintendent believed Lancaster's story
"Trams , it was believed until surprisingly recently , are old-fashioned .",0,9,are,VERB,Exist.,there are no easy answers
"They had something to do with fish and chips wrapped in newspaper , men in hats , National Health specs , smog and powdered egg .",1,1,had,VERB,"Possess, own, or hold.",he had a new car and a boat
"They had something to do with fish and chips wrapped in newspaper , men in hats , National Health specs , smog and powdered egg .",1,4,do,VERB,"Perform (an action, the precise nature of which is often unspecified)",very little work has been done in this field
"They had something to do with fish and chips wrapped in newspaper , men in hats , National Health specs , smog and powdered egg .",0,9,wrapped,VERB,Cover or enclose in paper or soft material.,the candles are wrapped in tissue paper
"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",1,1,held,VERB,"Grasp, carry, or support with one's hands.",she was holding a brown leather suitcase
"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",1,13,blocked,VERB,"Make the movement or flow in (a passage, pipe, road, etc.) difficult or impossible.",the narrow roads were blocked by cars
"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",1,23,lumpen,VERB,,
They picked up power from a spider 's web of unsightly overhead wires .,1,1,picked,VERB,"Detach and remove (a flower, fruit, or vegetable) from where it is growing.",I went to pick some flowers for Jenny's room
"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled Ã¢ÂÂ Do Not Spit signs screwed to their bulkheads .",0,1,were,VERB,Exist.,there are no easy answers
"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled Ã¢ÂÂ Do Not Spit signs screwed to their bulkheads .",0,18,Do,VERB,"Perform (an action, the precise nature of which is often unspecified)",very little work has been done in this field
"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled Ã¢ÂÂ Do Not Spit signs screwed to their bulkheads .",0,22,screwed,VERB,Fasten or tighten with a screw or screws.,screw the hinge to your new door
It plays a key role in keeping city streets on the move and is even the object of the best modern designers ' desire .,1,1,plays,VERB,Engage in activity for enjoyment and recreation rather than a serious or practical purpose.,the children were playing by a pool
It plays a key role in keeping city streets on the move and is even the object of the best modern designers ' desire .,1,6,keeping,VERB,Have or retain possession of.,"return one copy to me, keeping the other for your files"
It plays a key role in keeping city streets on the move and is even the object of the best modern designers ' desire .,0,13,is,VERB,Exist.,there are no easy answers
"In Milan , for example , the commission to design the new generation of Ã¢ÂÂ Jumbo trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",0,9,design,VERB,"Decide upon the look and functioning of (a building, garment, or other object), by making a detailed drawing of it.",a number of architectural students were designing a factory
"In Milan , for example , the commission to design the new generation of Ã¢ÂÂ Jumbo trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",1,19,went,VERB,Move from one place to another; travel.,he went out to the shops
"In Milan , for example , the commission to design the new generation of Ã¢ÂÂ Jumbo trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",0,25,was,VERB,Exist.,there are no easy answers
"In Milan , for example , the commission to design the new generation of Ã¢ÂÂ Jumbo trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",1,28,leading,VERB,"Cause (a person or animal) to go with one by holding them by the hand, a halter, a rope, etc. while moving forward.",she emerged leading a bay horse
"In Milan , for example , the commission to design the new generation of Ã¢ÂÂ Jumbo trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",1,33,fought,VERB,Take part in a violent struggle involving the exchange of physical blows or the use of weapons.,the men were fighting
"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",0,9,imposing,VERB,Force (an unwelcome decision or ruling) on someone.,the decision was theirs and was not imposed on them by others
"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",0,12,designed,VERB,"Decide upon the look and functioning of (a building, garment, or other object), by making a detailed drawing of it.",a number of architectural students were designing a factory
"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",0,23,will,VERB,Expressing the future tense.,you will regret it when you are older
"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",0,24,be,VERB,Exist.,there are no easy answers
"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",0,25,seen,VERB,Perceive with the eyes; discern visually.,in the distance she could see the blue sea
"Assuming the power station at the end of the line burns cleanly , the tram is virtually pollution free .",1,0,Assuming,VERB,"Suppose to be the case, without proof.",topics which assume detailed knowledge of local events
"Assuming the power station at the end of the line burns cleanly , the tram is virtually pollution free .",1,10,burns,VERB,(of a fire) produce flames and heat while consuming a material such as coal or wood.,a fire burned and crackled cheerfully in the grate
"Assuming the power station at the end of the line burns cleanly , the tram is virtually pollution free .",0,15,is,VERB,Exist.,there are no easy answers
"Standing at traffic lights a Koenig-designed Jumbo is , save for the chatter inside , completely silent .",1,0,Standing,VERB,"Have or maintain an upright position, supported by one's feet.",Lionel stood in the doorway
"Standing at traffic lights a Koenig-designed Jumbo is , save for the chatter inside , completely silent .",0,5,Koenig-designed,VERB,,
"Standing at traffic lights a Koenig-designed Jumbo is , save for the chatter inside , completely silent .",0,7,is,VERB,Exist.,there are no easy answers
"Standing at traffic lights a Koenig-designed Jumbo is , save for the chatter inside , completely silent .",0,9,save,VERB,Keep safe or rescue (someone or something) from harm or danger.,they brought him in to help save the club from bankruptcy
The overhead wires are so slight that you have to look hard to see them .,0,3,are,VERB,Exist.,there are no easy answers
The overhead wires are so slight that you have to look hard to see them .,0,8,have,VERB,"Possess, own, or hold.",he had a new car and a boat
The overhead wires are so slight that you have to look hard to see them .,0,10,look,VERB,Direct one's gaze toward someone or something or in a specified direction.,people were looking at him
The overhead wires are so slight that you have to look hard to see them .,0,13,see,VERB,Perceive with the eyes; discern visually.,in the distance she could see the blue sea
"Powers of acceleration and braking are remarkable , the latter far greater than any car .",0,5,are,VERB,Exist.,there are no easy answers
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",0,4,is,VERB,Exist.,there are no easy answers
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",0,12,will,VERB,Expressing the future tense.,you will regret it when you are older
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",1,13,design,VERB,"Decide upon the look and functioning of (a building, garment, or other object), by making a detailed drawing of it.",a number of architectural students were designing a factory
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",1,15,operate,VERB,"(of a person) control the functioning of (a machine, process, or system)",the Prime Minister operates a system of divide and rule
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",1,17,maintain,VERB,Cause or enable (a condition or situation) to continue.,the need to maintain close links between industry and schools
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",0,28,will,VERB,Expressing the future tense.,you will regret it when you are older
