sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,12,soon,ADV,In or after a short time.,everyone will soon know the truth
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",1,14,back,ADV,In the opposite direction from the one that one is facing or travelling towards.,he moved back a pace
"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .",0,2,solidly,ADV,In a firm or secure manner.,a kick that connected solidly with Jonny's stomach
"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .",0,12,often,ADV,Frequently; many times.,he often goes for long walks by himself
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",0,1,also,ADV,In addition; too.,"a brilliant linguist, he was also interested in botany"
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",0,5,very,ADV,In a high degree.,a very large amount
"Single-car , articulated or double-decker , trams are one of the most reliable and enduring forms of public transport invented .",0,11,most,ADV,"Forming the superlative of adjectives and adverbs, especially those of more than one syllable.",the most important event of my life
"Eventually they will be replaced , but more than 60 years on they run with the rhythmic reliability of a Swiss watch .",0,0,Eventually,ADV,"In the end, especially after a long delay, dispute, or series of problems.","eventually, after midnight, I arrived at the hotel"
"In Britain , with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) , trams had been largely relegated to the history books .",0,10,not,ADV,Used with an auxiliary verb or ‘be’ to form the negative.,he would not say
"In Britain , with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) , trams had been largely relegated to the history books .",0,26,largely,ADV,To a great extent; on the whole; mostly.,"he was soon arrested, largely through the efforts of Tom Poole"
"Otherwise , the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .",0,0,Otherwise,ADV,In circumstances different from those present or considered; or else.,the collection is a good draw that brings visitors who might not come otherwise
"Otherwise , the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .",0,19,else,ADV,,
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",0,0,Somehow,ADV,In some way; by some means.,somehow I managed to get the job done
"Trams , it was believed until surprisingly recently , are old-fashioned .",0,6,surprisingly,ADV,In a way that causes surprise; unexpectedly.,the finale ends surprisingly
"Trams , it was believed until surprisingly recently , are old-fashioned .",0,7,recently,ADV,At a recent time; not long ago.,I recently bought a CD player
"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",0,10,even,ADV,Used to emphasize something surprising or extreme.,they have never even heard of the United States
"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",0,11,worse,ADV,Less well or skilfully.,the more famous I became the worse I painted
They picked up power from a spider 's web of unsightly overhead wires .,0,10,unsightly,ADV,,
"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled Ã¢ÂÂ Do Not Spit signs screwed to their bulkheads .",0,19,Not,ADV,Used with an auxiliary verb or ‘be’ to form the negative.,he would not say
It plays a key role in keeping city streets on the move and is even the object of the best modern designers ' desire .,0,14,even,ADV,Used to emphasize something surprising or extreme.,they have never even heard of the United States
"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",1,0,After,ADV,At a later or future time; afterwards.,Duke Frederick died soon after
"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",0,1,all,ADV,Completely.,dressed all in black
"Assuming the power station at the end of the line burns cleanly , the tram is virtually pollution free .",0,11,cleanly,ADV,Without difficulty or impediment; smoothly and efficiently.,he vaulted cleanly through the open window
"Assuming the power station at the end of the line burns cleanly , the tram is virtually pollution free .",0,16,virtually,ADV,Nearly; almost.,the disease destroyed virtually all the vineyards in Orange County
"Standing at traffic lights a Koenig-designed Jumbo is , save for the chatter inside , completely silent .",0,13,inside,ADV,Within the boundaries or confines of a place.,Mr Jackson is waiting for you inside
"Standing at traffic lights a Koenig-designed Jumbo is , save for the chatter inside , completely silent .",0,15,completely,ADV,Totally; utterly.,the fire completely destroyed the building
The overhead wires are so slight that you have to look hard to see them .,0,4,so,ADV,To such a great extent.,the words tumbled out so fast that I could barely hear them
"Powers of acceleration and braking are remarkable , the latter far greater than any car .",1,10,far,ADV,"At, to, or by a great distance (used to indicate the extent to which one thing is distant from another)",the house was not too far away
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",0,1,sadly,ADV,In a sad manner.,he smiled sadly
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",0,3,there,ADV,"In, at, or to that place or position.",we went to Paris and stayed there ten days
"There is still time for GMA ( GEC , Mowlem , Amec and Greater Manchester Buses ) to consider employing an inspired architect or industrial designer .",0,0,There,ADV,"In, at, or to that place or position.",we went to Paris and stayed there ten days
"There is still time for GMA ( GEC , Mowlem , Amec and Greater Manchester Buses ) to consider employing an inspired architect or industrial designer .",0,2,still,ADV,Up to and including the present or the time mentioned; even now (or then) as formerly.,he still lives with his mother
"After all , Mancunians and visitors to the Manchester conurbation are going to have to look at these mechanical millipedes for well into the twenty-first century .",1,0,After,ADV,At a later or future time; afterwards.,Duke Frederick died soon after
"After all , Mancunians and visitors to the Manchester conurbation are going to have to look at these mechanical millipedes for well into the twenty-first century .",0,1,all,ADV,Completely.,dressed all in black
"After all , Mancunians and visitors to the Manchester conurbation are going to have to look at these mechanical millipedes for well into the twenty-first century .",0,21,well,ADV,In a good or satisfactory way.,the whole team played well
"Now that buses are no longer designed to enhance the streets they serve , Manchester has a chance to make a fresh start with its trams .",0,0,Now,ADV,At the present time or moment.,where are you living now?
"Now that buses are no longer designed to enhance the streets they serve , Manchester has a chance to make a fresh start with its trams .",0,4,no,ADV,,
"Now that buses are no longer designed to enhance the streets they serve , Manchester has a chance to make a fresh start with its trams .",0,5,longer,ADV,For a long time.,we hadn't known them long
"Other British towns , Croydon and Southampton among them , are also considering modern tramways .",0,11,also,ADV,In addition; too.,"a brilliant linguist, he was also interested in botany"
"These are all referred to as Ã¢ÂÂ supertram networks , the implication being that the new-generation tram is an altogether more dynamic form of transport than its pre-war predecessors .",0,19,altogether,ADV,Completely; totally.,I stopped seeing her altogether
"These are all referred to as Ã¢ÂÂ supertram networks , the implication being that the new-generation tram is an altogether more dynamic form of transport than its pre-war predecessors .",0,20,more,ADV,"Forming the comparative of adjectives and adverbs, especially those of more than one syllable.",for them enthusiasm is more important than talent
What it really means is that the new trams are a hybrid between street car and lightweight suburban train .,0,2,really,ADV,"In actual fact, as opposed to what is said or imagined to be true or possible.",so what really happened?
"Although they will slip through the city centre serving the essential parts Ã¢ÂÂ shopping malls , leisure centres , theme parks , amusement arcades and museums Ã¢ÂÂ the Manchester supertrams will also head out of town on a mix of reserved track and existing railway lines .",0,31,also,ADV,In addition; too.,"a brilliant linguist, he was also interested in botany"
"They will perform some of the same functions , but they will not be an exact replacement for traditional trams .",0,12,not,ADV,Used with an auxiliary verb or ‘be’ to form the negative.,he would not say
"And although the supertram concept will spread through major cities during the next decade , Blackpool will still be alone in its use of traditional double-deckers .",0,17,still,ADV,Up to and including the present or the time mentioned; even now (or then) as formerly.,he still lives with his mother
"IT WAS unfair of Auden to suggest , in his Ã¢ÂÂ Letter to Lord Byron , that a poet 's Ã¢ÂÂ sense of other people 's very hazy .",0,26,very,ADV,In a high degree.,a very large amount
"This , of course , is a popular subject : it seems particularly attractive to the poet-turned-novelist because of the scope it offers for the tremulously sensitive probing of feelings .",0,12,particularly,ADV,To a higher degree than is usual or average.,I don't particularly want to be reminded of that time
"This , of course , is a popular subject : it seems particularly attractive to the poet-turned-novelist because of the scope it offers for the tremulously sensitive probing of feelings .",1,25,tremulously,ADV,,
What Andrew Motion presents us with here is a static and humourless mood-piece filled with over-elaborate imagery .,1,6,here,ADV,"In, at, or to this place or position.",they have lived here most of their lives
"He finds it hard to communicate with people , not least his separated parents .",0,9,not,ADV,Used with an auxiliary verb or ‘be’ to form the negative.,he would not say
"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",0,8,most,ADV,"Forming the superlative of adjectives and adverbs, especially those of more than one syllable.",the most important event of my life
