sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
"Ã¢ÂÂ I have a very important assignment for you , Paula , Arlene Frampton-Cox said .",0,0,Ã¢ÂÂ,NOUN,,
"Ã¢ÂÂ I have a very important assignment for you , Paula , Arlene Frampton-Cox said .",0,1,I,PRON,Used by a speaker to refer to himself or herself.,accept me for what I am
"Ã¢ÂÂ I have a very important assignment for you , Paula , Arlene Frampton-Cox said .",1,2,have,VERB,"Possess, own, or hold.",he had a new car and a boat
"Ã¢ÂÂ I have a very important assignment for you , Paula , Arlene Frampton-Cox said .",0,3,a,DET,Used when referring to someone or something for the first time in a text or conversation.,a man came out of the room
"Ã¢ÂÂ I have a very important assignment for you , Paula , Arlene Frampton-Cox said .",0,4,very,ADV,In a high degree.,a very large amount
"Ã¢ÂÂ I have a very important assignment for you , Paula , Arlene Frampton-Cox said .",0,5,important,ADJ,Of great significance or value.,important habitats for wildlife
"Ã¢ÂÂ I have a very important assignment for you , Paula , Arlene Frampton-Cox said .",0,6,assignment,NOUN,A task or piece of work allocated to someone as part of a job or course of study.,a homework assignment
"Ã¢ÂÂ I have a very important assignment for you , Paula , Arlene Frampton-Cox said .",0,7,for,ADP,In support of or in favour of (a person or policy),troops who had fought for Napoleon
"Ã¢ÂÂ I have a very important assignment for you , Paula , Arlene Frampton-Cox said .",0,8,you,PRON,Used to refer to the person or people that the speaker is addressing.,are you listening?
"Ã¢ÂÂ I have a very important assignment for you , Paula , Arlene Frampton-Cox said .",0,10,Paula,PROPN,,
"Ã¢ÂÂ I have a very important assignment for you , Paula , Arlene Frampton-Cox said .",0,12,Arlene,PROPN,,
"Ã¢ÂÂ I have a very important assignment for you , Paula , Arlene Frampton-Cox said .",0,13,Frampton-Cox,PROPN,,
"Ã¢ÂÂ I have a very important assignment for you , Paula , Arlene Frampton-Cox said .",0,14,said,VERB,"Utter words so as to convey information, an opinion, a feeling or intention, or an instruction.","‘Thank you,’ he said"
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,0,She,PRON,"Used to refer to a woman, girl, or female animal previously mentioned or easily identified.",my sister told me that she was not happy
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,1,inserted,VERB,"Place, fit, or push (something) into something else.",Claudia inserted her key in the lock
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,2,a,DET,Used when referring to someone or something for the first time in a text or conversation.,a man came out of the room
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,3,Du,PROPN,,
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,4,Maurier,PROPN,,
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,5,cigarette,NOUN,A thin cylinder of finely cut tobacco rolled in paper for smoking.,There is a perception that light smoking or smoking low tar cigarettes is not dangerous.
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,6,into,ADP,Expressing movement or action with the result that someone or something becomes enclosed or surrounded by something else.,cover the bowl and put it into the fridge
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,7,her,ADJ,,
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,8,long,ADJ,Measuring a great distance from end to end.,a long corridor
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,9,tortoiseshell,NOUN,"The semi-transparent mottled yellow and brown shell of certain turtles, typically used to make jewellery or ornaments.","These included shell, coral, tortoiseshell, lava, jet, ivory, and paste."
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,10,holder,NOUN,A device or implement for holding something.,I replaced the phone in its holder
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,11,and,CCONJ,,
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,12,sat,VERB,Adopt or be in a position in which one's weight is supported by one's buttocks rather than one's feet and one's back is upright.,I sat next to him at dinner
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,13,back,ADV,In the opposite direction from the one that one is facing or travelling towards.,he moved back a pace
"She inserted a Du Maurier cigarette into her long tortoiseshell holder and sat back , looking at Paula , who was seated in the visitor 's chair on the other side of the desk , long legs crossed elegantly .",0,15,looking,VERB,Direct one's gaze toward someone or something or in a specified direction.,people were looking at him
