sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
Ca n't fail to be entertaining .,0,2,fail,verb,Be unsuccessful in achieving one's goal.,he failed in his attempt to secure election
How much was he going to tell her ?,0,4,go,verb,Move from one place to another; travel.,he went out to the shops
"Up until that news hit the Committee , Don had won the day with his UK Vehicle Division proposals .",0,10,win,verb,Be successful or victorious in (a contest or conflict),United won four games in a row
Could go on to the rugby and go with them could n't he ?,0,1,go,verb,Move from one place to another; travel.,he went out to the shops
"Finally , we went to the office and they gave us a cheque , which bounced .",0,3,go,verb,Move from one place to another; travel.,he went out to the shops
"It must be shown that the defendant intended ( which , again , includes both purpose and awareness of practical certainty ) to cause really serious injury to someone .",1,3,show,verb,Allow or cause (something) to be visible.,a white blouse will show the blood
"MP Neville Trotter is a pear-shaped Tory with pear-shaped vowels who has little appeal to the people of Meadowell , and a dwindling appeal in the middle-class suburbs where unemployment is also climbing .",1,32,climb,verb,Go or come up a (slope or staircase); ascend.,we began to climb the hill
The Englishman nodded and poured himself more coffee .,0,4,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
I demanded .,0,1,demand,verb,Ask authoritatively or brusquely.,‘Where is she?’ he demanded
"What is not known is information on the locations of former sites , at which quite toxic materials may have been dumped , though recent work by Egger ( 1989 ) in Austria has mapped a vast number of such sites .",0,21,dump,verb,"Deposit or dispose of (rubbish, waste, or unwanted material), typically in a careless or hurried way.","trucks dumped 1,900 tons of refuse here"
"The armed robber might say that he had no intention of using the firearm , that he carried it with him simply to frighten the victim , and that it went off accidentally : if the jury believes that , should he be convicted of murder ?",0,4,say,verb,"Utter words so as to convey information, an opinion, a feeling or intention, or an instruction.","‘Thank you,’ he said"
"Hill expresses the way time has cheated them : his daughter was born while he was remanded in custody , and is now 14 : She would change dramatically and I did n't feel a change in myself mentally .",0,12,bear,verb,Carry the weight of; support.,the bees form large colonies and need the thick branches of tall trees to bear the weight of their nests
That 's getting in the,0,2,get,verb,Come to have (something); receive.,I got a letter from him the other day
"He was unsurprised to find her packed off firmly to take his sister home , leaving him as a person of major importance in what he instantly assumed to be a real murder .",0,10,take,verb,Lay hold of (something) with one's hands; reach for and hold.,Mrs Morgan took another biscuit
He had trouble finding an appropriate language for the painter 's obsession with the illuminated material world .,1,3,find,verb,Discover or perceive by chance or unexpectedly.,Lindsey looked up to find Neil watching her
